Baseline Pre500h,,Baseline Post500h,,Synthesized Pre500h,,Synthesized Post500h,,Commercial Pre500h,,Commercial Post500h,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.8428150021070451,0.8826886493341789,-1.2642225031605676,0.729866835764109,0.42140750105352254,0.9568801521876983,0,0.8116677235256817,0.4214075010534941,0.9562460367786938,0,0.9454660748256184
332.06911083017275,0.7799619530754598,332.9119258322797,0.6740646797717185,334.1761483354403,0.8351299936588459,333.33333333333303,0.793278376664553,332.49051833122627,0.8440076093849082,332.06911083017275,0.8110336081166774
432.7855035819638,0.7526949904882689,432.78550358196367,0.6410906785034878,434.47113358617787,0.8034242232086239,433.2069110830174,0.7761572606214331,433.2069110830172,0.8142041851616995,433.2069110830173,0.772986683576411
532.6590813316477,0.719720989220038,532.2376738305942,0.5935320228281548,533.5018963337548,0.7704502219403933,533.9233038348082,0.7526949904882689,533.0804888327012,0.7793278376664553,533.5018963337546,0.7419150285351934
591.6561314791405,0.694990488268865,591.6561314791403,0.5548509828788839,590.8133164770334,0.7488902980342422,590.8133164770334,0.7336715282181356,592.9203539823006,0.755865567533291,592.0775389801938,0.719720989220038
633.3754740834388,0.6766011414077362,632.9540665823852,0.5193405199746354,633.3754740834387,0.7298668357641092,633.3754740834383,0.718452758402029,633.7968815844922,0.7438173747622068,633.7968815844924,0.7032339885859225
664.9810366624525,0.6601141407736208,664.9810366624525,0.48636651870640446,666.6666666666666,0.7121116043119847,666.2452591656133,0.7057704502219403,665.8238516645594,0.7254280279010779,665.4024441635058,0.6880152187698161
766.9616519174042,0.6182625237793281,766.5402444163507,0.3348129359543437,768.6472819216182,0.6651870640456563,767.8044669195111,0.6645529486366519,768.2258744205648,0.6721623335447051,767.3830594184582,0.6366518706404565
825.5372945638438,0.5833861762840835,825.1158870627897,0.18833227647431827,826.8015170670037,0.6195307545973368,826.3801095659503,0.631578947368421,826.3801095659508,0.6239695624603676,825.9587020648968,0.588459099556119
867.6780446691953,0.5542168674698794,866.4138221660345,0.02219403931515518,868.9422671723556,0.5789473684210527,867.6780446691951,0.5960684844641725,867.6780446691951,0.5719720989220036,867.2566371681417,0.5421686746987951
896.7551622418886,0.5288522511097019,,,901.3906447534766,0.5389980976537729,898.8621997471553,0.5599239061509195,899.7050147492623,0.5237793278376665,899.7050147492628,0.5003170577045021
948.5882848714705,0.48002536461636014,,,926.6750948166878,0.501585288522511,926.2536873156341,0.5250475586556753,926.675094816688,0.4781230183893469,925.8322798145805,0.46417247939124917
967.5516224188791,0.45339251743817366,,,949.4310998735778,0.4673430564362715,948.5882848714705,0.4920735573874444,949.0096923725241,0.44261255548509815,948.1668773704173,0.43183259353202263
984.8293299620734,0.42866201648700064,,,967.1302149178255,0.43500317057704496,967.9730299199327,0.45466074825618263,968.3944374209862,0.41724793912492075,968.3944374209862,0.40646797717184524
999.5785924989464,0.4051997463538364,,,982.7222924568057,0.42041851616994286,983.9865149599664,0.42041851616994275,985.2507374631268,0.39124920735573865,984.4079224610198,0.38110336081166774
1014.3278550358193,0.3811033608116676,,,1000.4214075010536,0.3899809765377299,1000.842815002107,0.393151553582752,999.5785924989464,0.36588459099556125,999.5785924989464,0.3601775523145211
1025.7058575642645,0.35447051363348125,,,1013.9064475347661,0.36461636017755217,1015.1706700379264,0.36715282181357,1013.0636325326591,0.33354470513633483,1024.8630425621573,0.3088142041851616
1040.0337126000843,0.3240329740012682,,,1026.5486725663714,0.34369055168040574,1038.7694900969236,0.3202282815472416,1028.234302570586,0.30247305009511716,1036.6624525916561,0.2834495878249841
1050.9903076274759,0.2897907419150285,,,1036.6624525916561,0.3094483195941662,1049.3046776232618,0.29169308814204187,1037.926675094817,0.2644261255548509,1048.0404551201011,0.2536461636017755
1059.418457648546,0.26315789473684215,,,1048.883270122208,0.27457197209892203,1059.418457648546,0.2637920101458465,1047.6190476190473,0.2282815472415981,1058.575642646439,0.22511097019657578
1068.6894226717234,0.23018389346861134,,,1060.2612726506532,0.24857324032973982,1069.110830172777,0.21559923906150902,1058.575642646439,0.18325935320228293,1067.8466076696166,0.1946734305643626
,,,,1069.9536451748843,0.21496512365250464,,,1068.2680151706702,0.13443246670894082,,
